k1     a1     p1     k2     a2     p2     k3     a3     p3     u1   u2   nll  
1.89991 1.20505 0.444696 0.0991233 0.961182 -0.377636  0.00855266 0.929807 0.50536 0.899843 0.800009 1.55734e+06 0.161108
1.8999 1.20687 0.448875 0.0991086 0.963075 -0.376064  0.00856098 0.930963 0.505581 0.899841 0.800009 1.55087e+06 0.160773
1.8999 1.2049 0.444777 0.0990934 0.963491 -0.375503  0.00855382 0.930425 0.504098 0.899838 0.800009 1.5467e+06 0.160556
1.8999 1.20637 0.448183 0.0990786 0.965246 -0.37402  0.0085606 0.931437 0.504188 0.899836 0.800009 1.54095e+06 0.160257
1.8999 1.20472 0.444788 0.0990633 0.965785 -0.373372  0.00855464 0.931059 0.502881 0.899833 0.800009 1.53665e+06 0.160034
1.8999 1.20588 0.447511 0.0990485 0.967419 -0.371967  0.00856005 0.931945 0.502858 0.899831 0.800008 1.53144e+06 0.159762
1.8999 1.20451 0.444733 0.0990332 0.968066 -0.371241  0.00855515 0.931707 0.501708 0.899828 0.800008 1.52771e+06 0.159568
1.8999 1.20541 0.446895 0.0990183 0.9696 -0.3699  0.00855944 0.932491 0.501593 0.899826 0.800008 1.52289e+06 0.159316
1.8999 1.20426 0.444619 0.0990031 0.970335 -0.369111  0.0085554 0.932368 0.500572 0.899823 0.800008 1.51893e+06 0.159109
1.89989 1.20494 0.446291 0.0989881 0.971781 -0.367825  0.00855869 0.933063 0.50038 0.899821 0.800008 1.51441e+06 0.158872
1.89989 1.20399 0.44445 0.0989729 0.972594 -0.366979  0.0085554 0.933041 0.499472 0.899818 0.800008 1.5109e+06 0.158687
1.89989 1.20449 0.445735 0.0989579 0.973971 -0.365737  0.00855791 0.933666 0.499221 0.899816 0.800008 1.50658e+06 0.15846
1.89989 1.2037 0.444235 0.0989427 0.974844 -0.364845  0.00855519 0.933723 0.498404 0.899813 0.800007 1.50278e+06 0.15826
1.89989 1.20404 0.445183 0.0989276 0.976161 -0.363641  0.00855701 0.934289 0.498103 0.899811 0.800007 1.49862e+06 0.158041
1.89989 1.20339 0.443976 0.0989124 0.977086 -0.362709  0.00855478 0.934415 0.497365 0.899808 0.800007 1.49518e+06 0.15786
1.89989 1.20361 0.444671 0.0988973 0.978358 -0.361532  0.00855609 0.934936 0.497029 0.899805 0.800007 1.49113e+06 0.157646
1.89988 1.20306 0.443682 0.0988821 0.979322 -0.36057  0.00855421 0.935114 0.496354 0.899803 0.800007 1.48738e+06 0.157447
1.89988 1.20318 0.444155 0.0988669 0.980553 -0.359417  0.00855505 0.935597 0.495988 0.8998 0.800007 1.48341e+06 0.157237
1.89988 1.20272 0.443355 0.0988517 0.981551 -0.358427  0.00855348 0.93582 0.495367 0.899798 0.800007 1.47999e+06 0.157056
1.89988 1.20277 0.443672 0.0988366 0.982754 -0.35729  0.00855399 0.936276 0.494984 0.899795 0.800006 1.47608e+06 0.156848
1.89988 1.20236 0.443002 0.0988213 0.983775 -0.35628  0.00855263 0.936532 0.494404 0.899793 0.800006 1.47234e+06 0.156649
1.89988 1.20235 0.443177 0.0988062 0.984952 -0.355158  0.00855283 0.936964 0.494005 0.89979 0.800006 1.46847e+06 0.156443
1.89988 1.202 0.442625 0.0987909 0.985994 -0.354129  0.00855165 0.937248 0.493462 0.899788 0.800006 1.46504e+06 0.156261
1.89987 1.20194 0.442711 0.0987757 0.987155 -0.353015  0.00855165 0.937666 0.493056 0.899785 0.800006 1.4612e+06 0.156056
1.89987 1.20162 0.44223 0.0987605 0.98821 -0.351973  0.00855056 0.937968 0.492539 0.899783 0.800006 1.45746e+06 0.155856
1.89987 1.20153 0.442227 0.0987453 0.989353 -0.350867  0.00855036 0.938372 0.492126 0.89978 0.800006 1.45364e+06 0.155651
1.89987 1.20124 0.441817 0.09873 0.990421 -0.349813  0.00854938 0.938692 0.491635 0.899778 0.800005 1.4502e+06 0.155467
1.89987 1.20112 0.441767 0.0987148 0.991556 -0.348709  0.00854907 0.939088 0.491222 0.899775 0.800005 1.4464e+06 0.155263
1.89987 1.20086 0.441393 0.0986996 0.99263 -0.347646  0.00854812 0.939418 0.490747 0.899773 0.800005 1.44265e+06 0.155062
1.89987 1.20071 0.441287 0.0986843 0.993754 -0.346546  0.00854767 0.939805 0.490333 0.89977 0.800005 1.43886e+06 0.154858
1.89987 1.20046 0.440954 0.098669 0.994835 -0.345475  0.00854677 0.940147 0.489875 0.899768 0.800005 1.43541e+06 0.154672
1.89986 1.20031 0.440828 0.0986538 0.995954 -0.344374  0.00854626 0.940531 0.489465 0.899765 0.800005 1.43162e+06 0.154468
1.89986 1.20007 0.440508 0.0986385 0.997037 -0.343298  0.00854537 0.940876 0.489018 0.899763 0.800005 1.42787e+06 0.154266
1.89986 1.1999 0.440345 0.0986232 0.99815 -0.342199  0.00854476 0.941254 0.488608 0.89976 0.800004 1.42409e+06 0.154061
1.89986 1.19967 0.440051 0.098608 0.999237 -0.341116  0.00854389 0.941606 0.488174 0.899758 0.800004 1.42064e+06 0.153875
1.89986 1.1995 0.439882 0.0985927 1.00035 -0.340014  0.00854325 0.941983 0.487769 0.899755 0.800004 1.41687e+06 0.15367
